primary_category,purpose,category_text,source,gparis_poi_tessellation,local_observed_count,cluster_id,semantic_cluster
cocktail_bar,LEISURE,cocktail bar,citybehavex/category/unique_categories.csv,523,523,1,food_drink
coffee_and_tea_supplies,PURCHASE,coffee and tea supplies,citybehavex/category/unique_categories.csv,12,12,1,food_drink
coffee_roastery,OTHER,coffee roastery,citybehavex/category/unique_categories.csv,2,2,1,food_drink
coffee_shop,LEISURE,coffee shop,citybehavex/category/unique_categories.csv,1035,1035,1,food_drink
colombian_restaurant,LEISURE,colombian restaurant,citybehavex/category/unique_categories.csv,17,17,1,food_drink
comfort_food_restaurant,LEISURE,comfort food restaurant,citybehavex/category/unique_categories.csv,11,11,1,food_drink
cuban_restaurant,LEISURE,cuban restaurant,citybehavex/category/unique_categories.csv,12,12,1,food_drink
desserts,LEISURE,desserts,citybehavex/category/unique_categories.csv,253,253,0,food_drink
dim_sum_restaurant,LEISURE,dim sum restaurant,citybehavex/category/unique_categories.csv,16,16,1,food_drink
diner,LEISURE,diner,citybehavex/category/unique_categories.csv,144,144,0,food_drink
dive_bar,LEISURE,dive bar,citybehavex/category/unique_categories.csv,15,15,1,food_drink
eastern_european_restaurant,LEISURE,eastern european restaurant,citybehavex/category/unique_categories.csv,16,16,1,food_drink
eat_and_drink,LEISURE,eat and drink,citybehavex/category/unique_categories.csv,132,132,1,food_drink
ecuadorian_restaurant,LEISURE,ecuadorian restaurant,citybehavex/category/unique_categories.csv,2,2,1,food_drink
egyptian_restaurant,LEISURE,egyptian restaurant,citybehavex/category/unique_categories.csv,6,6,1,food_drink
esports_team,LEISURE,esports team,citybehavex/category/unique_categories.csv,3,3,1,food_drink
ethiopian_restaurant,LEISURE,ethiopian restaurant,citybehavex/category/unique_categories.csv,28,28,1,food_drink
european_restaurant,LEISURE,european restaurant,citybehavex/category/unique_categories.csv,126,126,1,food_drink
falafel_restaurant,LEISURE,falafel restaurant,citybehavex/category/unique_categories.csv,16,16,1,food_drink
fast_food_restaurant,LEISURE,fast food restaurant,citybehavex/category/unique_categories.csv,2731,2731,1,food_drink
filipino_restaurant,LEISURE,filipino restaurant,citybehavex/category/unique_categories.csv,6,6,1,food_drink
fish_and_chips_restaurant,LEISURE,fish and chips restaurant,citybehavex/category/unique_categories.csv,9,9,1,food_drink
fondue_restaurant,LEISURE,fondue restaurant,citybehavex/category/unique_categories.csv,16,16,1,food_drink
food,LEISURE,food,citybehavex/category/unique_categories.csv,124,124,1,food_drink
food_banks,OTHER,food banks,citybehavex/category/unique_categories.csv,4,4,1,food_drink
food_beverage_service_distribution,WORK,food beverage service distribution,citybehavex/category/unique_categories.csv,249,249,1,food_drink
food_consultant,WORK,food consultant,citybehavex/category/unique_categories.csv,18,18,1,food_drink
food_court,LEISURE,food court,citybehavex/category/unique_categories.csv,14,14,1,food_drink
food_delivery_service,PURCHASE,food delivery service,citybehavex/category/unique_categories.csv,144,144,1,food_drink
food_stand,LEISURE,food stand,citybehavex/category/unique_categories.csv,25,25,1,food_drink
food_tours,LEISURE,food tours,citybehavex/category/unique_categories.csv,8,8,1,food_drink
food_truck,LEISURE,food truck,citybehavex/category/unique_categories.csv,99,99,1,food_drink
french_restaurant,LEISURE,french restaurant,citybehavex/category/unique_categories.csv,7197,7197,1,food_drink
frozen_foods,OTHER,frozen foods,citybehavex/category/unique_categories.csv,189,189,1,food_drink
game_publisher,LEISURE,game publisher,citybehavex/category/unique_categories.csv,15,15,1,food_drink
gastropub,LEISURE,gastropub,citybehavex/category/unique_categories.csv,52,52,0,food_drink
gay_bar,LEISURE,gay bar,citybehavex/category/unique_categories.csv,53,53,1,food_drink
georgian_restaurant,LEISURE,georgian restaurant,citybehavex/category/unique_categories.csv,9,9,1,food_drink
german_restaurant,LEISURE,german restaurant,citybehavex/category/unique_categories.csv,9,9,1,food_drink
gluten_free_restaurant,LEISURE,gluten free restaurant,citybehavex/category/unique_categories.csv,12,12,1,food_drink
