aligner,teacher,sample_size,epochs,n_train,n_test,mae,rmse,spearman,kendall_tau,calibration_mae
poi_type,mistral,1000,1,800,200,0.18349356362223623,0.2095909343783519,0.38385488533827833,0.27667155429475887,0.06279477819800379
poi_type,mistral,1000,2,800,200,0.16888917522132396,0.20277462856243628,0.35318716666142813,0.24982739869738352,0.056760501131415377
poi_type,mistral,1000,3,800,200,0.16137341724336146,0.19611780144656188,0.40011762931030687,0.28970698787702337,0.057157558932900435
poi_type,mistral,1000,4,800,200,0.15516454029083251,0.19369435122336331,0.4384518953993187,0.3225165113849265,0.03516944414377212
poi_type,mistral,1000,5,800,200,0.16278148213028906,0.19869390225672143,0.4250369664562393,0.30948107780266193,0.06311656409502032
poi_type,mistral,1000,6,800,200,0.15556988805532457,0.1976783020318223,0.4409931402734736,0.3253887255640695,0.05533266991376877
poi_type,mistral,1000,7,800,200,0.1571829883083701,0.1975951967880679,0.42506295993569815,0.3100334266832664,0.05560983856767415
poi_type,mistral,1000,8,800,200,0.14731142000108957,0.19088678384701807,0.48379140420249467,0.3586401281764562,0.052678287215530854
poi_type,mistral,1000,9,800,200,0.1596993420794606,0.2047312627001972,0.4529226183168891,0.3369880520567625,0.07526816310733558
poi_type,mistral,1000,10,800,200,0.15824633066356183,0.19862726998241367,0.4690079950173161,0.3484769087733347,0.07153436733782294
poi_type,mistral,10000,1,8000,2000,0.15186572242230179,0.18771185684038688,0.5467362494430412,0.41543742355128294,0.026551055599749098
poi_type,mistral,10000,2,8000,2000,0.12328528140112757,0.15971174201596258,0.7078700205600887,0.5542095448439378,0.00857930472567678
poi_type,mistral,10000,3,8000,2000,0.11539996862113475,0.15258371983601637,0.7386642674713519,0.5836214362262346,0.007407322341203698
poi_type,mistral,10000,4,8000,2000,0.11322186322435736,0.15175893283262398,0.7422340612312504,0.5871485159934194,0.01015182677134869
poi_type,mistral,10000,5,8000,2000,0.10864327475652098,0.1464731420843332,0.7596238001134358,0.6043473582616053,0.010868472728878274
poi_type,mistral,10000,6,8000,2000,0.11058663483187556,0.14941916171299355,0.7564159828496921,0.6002529157460075,0.014447862730175249
poi_type,mistral,10000,7,8000,2000,0.11034242886826397,0.15091754282721404,0.7489342095725197,0.5938874224484247,0.022893072289973514
poi_type,mistral,10000,8,8000,2000,0.1119495016425848,0.15401304869803817,0.7392164406407339,0.5851406013837702,0.02916783782541751
poi_type,mistral,10000,9,8000,2000,0.11301497967317702,0.15665150618104945,0.7394443418228789,0.5850233736942356,0.0345143563859165
poi_type,mistral,10000,10,8000,2000,0.1138844854824245,0.15795958208694927,0.7357789951566192,0.5822908693929141,0.04050029988810421
profile_coherence,mistral,100,1,80,20,0.29642226248979575,0.3076162803750497,0.7088964584004503,0.5344792008996534,0.1490530934929848
profile_coherence,mistral,100,2,80,20,0.22154967859387403,0.2445838765353849,0.7196248099245549,0.5981076771972312,0.1268448956310749
profile_coherence,mistral,100,3,80,20,0.12793750923126937,0.17525413414602908,0.8673459578333798,0.7380903250519022,0.04690343122929335
profile_coherence,mistral,100,4,80,20,0.14148305406793954,0.20004603577726518,0.8170052314510429,0.6871875440138401,0.09199674701318146
profile_coherence,mistral,100,5,80,20,0.154924629740417,0.22511793399874727,0.6057392322071368,0.4835764198615911,0.13195442151278258
profile_coherence,mistral,100,6,80,20,0.1239087465032935,0.19017924388776788,0.739430997353671,0.5981076771972312,0.10025653939694168
profile_coherence,mistral,100,7,80,20,0.1198985170945525,0.18080267585840493,0.7881212081169151,0.6490104582352934,0.09103443767875434
profile_coherence,mistral,100,8,80,20,0.12644194051623342,0.21002333997359923,0.724576356781834,0.5853819819377156,0.07723843470215798
profile_coherence,mistral,100,9,80,20,0.12578151375055316,0.20255171447635542,0.791422239355101,0.6490104582352934,0.10685382261872292
profile_coherence,mistral,100,10,80,20,0.16219907123595473,0.23355991622716615,0.7006438803049851,0.5599305914186845,0.10728506971150638
profile_coherence,mistral,1000,1,800,200,0.08594791364669799,0.12355378990425737,0.8735311193650429,0.720998375557169,0.03791617830097677
profile_coherence,mistral,1000,2,800,200,0.07735740477591753,0.13228554897306805,0.8676580609383957,0.7134597550644947,0.03047140794247388
profile_coherence,mistral,1000,3,800,200,0.06865220391750335,0.11009471897700485,0.8775892312908009,0.731246187789398,0.03337749062478542
profile_coherence,mistral,1000,4,800,200,0.05431795663386584,0.08742901533530026,0.898368614384022,0.7648166071708377,0.024018328227102773
profile_coherence,mistral,1000,5,800,200,0.05079827426373958,0.08385596715288605,0.9045885540619377,0.7768312835810371,0.01599412964284419
profile_coherence,mistral,1000,6,800,200,0.04230191604048013,0.06998125668019801,0.9162916097943851,0.7963845804839109,0.013801567293703567
profile_coherence,mistral,1000,7,800,200,0.043563221521675584,0.07607484563626014,0.913721841482576,0.7896903572858521,0.02190358585864306
profile_coherence,mistral,1000,8,800,200,0.039910118281841274,0.07379660858664495,0.9215857353740878,0.8046299466477733,0.014689563378691673
profile_coherence,mistral,1000,9,800,200,0.03700645149499178,0.06759561345118147,0.9196041263869571,0.8054544832641596,0.009233275689184646
profile_coherence,mistral,1000,10,800,200,0.03611667957901954,0.0696537146980115,0.9230298777787936,0.810755075798071,0.01732198479771614
profile_coherence,mistral,10000,1,8000,2000,0.033757589656859634,0.06087440401182545,0.9220609841288099,0.8114754783697519,0.00880102824792266
profile_coherence,mistral,10000,2,8000,2000,0.020839902820438145,0.0390174536510491,0.9324852319570903,0.8355088739838428,0.0035334438838064575
profile_coherence,mistral,10000,3,8000,2000,0.018245685547590255,0.035639347860611514,0.9351794857582284,0.8403494172598156,0.004133416569232934
profile_coherence,mistral,10000,4,8000,2000,0.015015212644636634,0.03253352002102634,0.9353670018886262,0.8422800795492466,0.0028312804415822016
profile_coherence,mistral,10000,5,8000,2000,0.014399363178759813,0.03220183159045729,0.9354325730813238,0.8426034595212847,0.0028408575274050138
profile_coherence,mistral,10000,6,8000,2000,0.01349887226894498,0.03235014020877636,0.934842067569721,0.8418409583324677,0.002742109870165602
profile_coherence,mistral,10000,7,8000,2000,0.013220197604969145,0.03204425964085856,0.9362995188687039,0.8440455489256397,0.0029937369335443
profile_coherence,mistral,10000,8,8000,2000,0.012529643534496428,0.032290460677377765,0.9360464928227091,0.8437645880126894,0.0029818175217136726
profile_coherence,mistral,10000,9,8000,2000,0.012476900186389684,0.03317134729995983,0.9361793126631427,0.8442676767479871,0.0026685237603262003
profile_coherence,mistral,10000,10,8000,2000,0.012154106017155573,0.03281064226100991,0.9364322069652108,0.8440092035829281,0.0023335762415546955
schedule,mistral,100,1,80,20,0.16820772156119343,0.21571644714573968,0.5645621048470849,0.4155536989954898,0.13338559672236444
schedule,mistral,100,2,80,20,0.12921978674829007,0.19172777772047012,0.5576207674924075,0.39246738238462925,0.0782889673858881
schedule,mistral,100,3,80,20,0.12613881610333919,0.18489530541577975,0.5522219495498808,0.3809242240791989,0.08559587396681315
schedule,mistral,100,4,80,20,0.11384607084095477,0.1935752768877987,0.5815298183807404,0.4155536989954898,0.07631711669266221
schedule,mistral,100,5,80,20,0.12101408839225766,0.19568825038106738,0.6224065828027288,0.5194421237443622,0.0974323335289955
schedule,mistral,100,6,80,20,0.10912901386618615,0.19072645123496892,0.6686821651672439,0.5194421237443622,0.09022931188344954
schedule,mistral,100,7,80,20,0.14473513133823873,0.20184450641913104,0.5984975319143959,0.4386400156063503,0.09869599781930445
schedule,mistral,100,8,80,20,0.1056462975591421,0.179348782762367,0.6440018545728359,0.5194421237443622,0.04673420794308182
schedule,mistral,100,9,80,20,0.10655496932566164,0.17574961127620642,0.6100664275055248,0.4501831739117806,0.06751488380134105
schedule,mistral,100,10,80,20,0.10404432706534861,0.17686435655952373,0.6601983084004162,0.5078989654389319,0.07372063718736173
schedule,mistral,1000,1,800,200,0.08129443207383157,0.10577275801017554,0.7772865701340037,0.6307216697228776,0.031669896915555
schedule,mistral,1000,2,800,200,0.07388581210374834,0.09776559056095321,0.7898731398168505,0.6418046383601805,0.02332111185789108
schedule,mistral,1000,3,800,200,0.07256950033456089,0.09326167437293743,0.8156373824734295,0.6737101541342344,0.02532947538048031
schedule,mistral,1000,4,800,200,0.06769487600028516,0.0901854886966665,0.8221688041034888,0.6778522737259538,0.015330627813935327
schedule,mistral,1000,5,800,200,0.06459727281332016,0.08935113173014016,0.8234966671676295,0.6837855801681463,0.007845348358154291
schedule,mistral,1000,6,800,200,0.06361751382797957,0.08478724681095275,0.8341180303423168,0.6936371078457488,0.00887430859357121
schedule,mistral,1000,7,800,200,0.06349571660906077,0.0854852345798186,0.830249270863509,0.6892710898977205,0.007262750349938869
schedule,mistral,1000,8,800,200,0.06463145361095667,0.08681337636131221,0.8127512262487014,0.6691202378298969,0.008964805908501095
schedule,mistral,1000,9,800,200,0.06747683365643024,0.08999499550549937,0.7999427038308156,0.6562460823421207,0.006769368335604664
schedule,mistral,1000,10,800,200,0.0668535083681345,0.09147820781986975,0.7996475375199821,0.6571416757673573,0.019270170256495488
schedule,mistral,10000,1,8000,2000,0.0634502356119454,0.08902196635316993,0.8596703175638427,0.721796112604213,0.009702029884606578
schedule,mistral,10000,2,8000,2000,0.058823872774839414,0.0832162020856456,0.8750398786626464,0.7410681371067496,0.002601642531156539
schedule,mistral,10000,3,8000,2000,0.055207170754671096,0.07892845439608302,0.8862007795408922,0.7562431416914775,0.0039429347783326765
schedule,mistral,10000,4,8000,2000,0.05143585472777486,0.07564197831300142,0.8954941696272902,0.769868472269754,0.002603292498737541
schedule,mistral,10000,5,8000,2000,0.04646216190457344,0.07067682659629755,0.9042925205556588,0.7832564800389877,0.00501840991824866
schedule,mistral,10000,6,8000,2000,0.044803233577311044,0.06961384755405622,0.9082314320875494,0.7889065291550471,0.003766567382216425
schedule,mistral,10000,7,8000,2000,0.0446367985792458,0.06933370173672386,0.9083653715880378,0.788764946321656,0.006255213806778186
schedule,mistral,10000,8,8000,2000,0.04295530507564545,0.06894357974286057,0.9123471480674505,0.7946027420963333,0.004930737850069985
schedule,mistral,10000,9,8000,2000,0.04319510041922331,0.06937253091419102,0.9114021748418264,0.7925883164943007,0.006968325091898415
schedule,mistral,10000,10,8000,2000,0.042816866981983184,0.069983631659718,0.9085421764596375,0.7893030513095257,0.006817556807398793
vehicle_ownership,mistral,100,1,80,20,0.12186224699020384,0.1522123847146652,0.348642201542146,0.26238863383078287,0.0804200720787048
vehicle_ownership,mistral,100,2,80,20,0.15351330757141116,0.18301732024389514,0.5866043391026583,0.48899699941191355,0.1374687600135803
vehicle_ownership,mistral,100,3,80,20,0.13096798986196517,0.14955384955829368,0.3233439012034868,0.25046187774756545,0.0709933283925056
vehicle_ownership,mistral,100,4,80,20,0.09283360868692396,0.12014838114475802,0.633248080352061,0.4770702433286961,0.03405027657747266
vehicle_ownership,mistral,100,5,80,20,0.07347996175289154,0.10011678106506611,0.8063833232947594,0.6559715845769571,0.06682543337345119
vehicle_ownership,mistral,100,6,80,20,0.10543788611888885,0.13293661704140347,0.5281020195695091,0.38165619466295686,0.02644114077091218
vehicle_ownership,mistral,100,7,80,20,0.06096244961023332,0.0819326414878396,0.7842473104984327,0.6440448284937398,0.04791378468275074
vehicle_ownership,mistral,100,8,80,20,0.08930583670735359,0.10938025676080815,0.7636924414732721,0.5963378041608701,0.06621100619435316
vehicle_ownership,mistral,100,9,80,20,0.06819305807352068,0.09209328808775674,0.8063833232947594,0.6559715845769571,0.0456775990128517
vehicle_ownership,mistral,100,10,80,20,0.09102554708719254,0.11618325205702229,0.6522218056060554,0.4770702433286961,0.030123968422412894
vehicle_ownership,mistral,1000,1,800,200,0.08608311861753463,0.10732747966216738,0.7101405683607027,0.5609223039290812,0.017397315084934254
vehicle_ownership,mistral,1000,2,800,200,0.07399399828910828,0.0955532628201509,0.779652072379732,0.6325222544306158,0.025447195589542435
vehicle_ownership,mistral,1000,3,800,200,0.07184774696826934,0.09112482598864313,0.7894854970274526,0.643951354510673,0.015708278179168714
vehicle_ownership,mistral,1000,4,800,200,0.06779625585675239,0.08552737357751297,0.8092522092401819,0.6697228546911941,0.011800657719373726
vehicle_ownership,mistral,1000,5,800,200,0.06211478447914123,0.079625666767435,0.8348324795916465,0.7015450549140984,0.012260091483592955
vehicle_ownership,mistral,1000,6,800,200,0.06674190554022788,0.08404942133673095,0.8153776469513706,0.6749892047280832,0.013750867396593114
vehicle_ownership,mistral,1000,7,800,200,0.06077197329699993,0.07909291181228882,0.8471793770498774,0.7186887050341841,0.02145727057754997
vehicle_ownership,mistral,1000,8,800,200,0.054647452756762506,0.07231080936564671,0.8735739142653826,0.7507350052586582,0.016956855610012995
vehicle_ownership,mistral,1000,9,800,200,0.052250361919403084,0.069132118955707,0.878896607756833,0.7553290552908382,0.009184262692928363
vehicle_ownership,mistral,1000,10,800,200,0.048439176902174946,0.06921750723172909,0.8846986432512657,0.766982255372465,0.015464037582278257
vehicle_ownership,mistral,10000,1,8000,2000,0.05664671240895986,0.07118981277132838,0.8796988079921484,0.7488326237866634,0.013703921450674516
vehicle_ownership,mistral,10000,2,8000,2000,0.03348588567525148,0.04676073322289651,0.942025685349486,0.8436286051982573,0.0057931481763720555
vehicle_ownership,mistral,10000,3,8000,2000,0.02196297530680895,0.03741838264016974,0.9567765695489621,0.8675264212131443,0.002448694495856741
vehicle_ownership,mistral,10000,4,8000,2000,0.01884306423813105,0.03546876889696925,0.9588985692403106,0.8706445962336177,0.0024297484621405682
vehicle_ownership,mistral,10000,5,8000,2000,0.01720350649058819,0.03441359639428053,0.9601878114617323,0.8732374038082552,0.001878920421004325
vehicle_ownership,mistral,10000,6,8000,2000,0.016718361313641072,0.03463590825224168,0.9605364391182216,0.8733177790896028,0.0020043936297297698
vehicle_ownership,mistral,10000,7,8000,2000,0.01627979831993579,0.034396322871546245,0.9595046804863953,0.8717678172624479,0.0017122410744428644
vehicle_ownership,mistral,10000,8,8000,2000,0.015974641524255276,0.03423071486660428,0.9605354894112537,0.8733163393253287,0.0016902559682727158
vehicle_ownership,mistral,10000,9,8000,2000,0.015608840696513653,0.03406220565808935,0.96040817795502,0.873166104598178,0.0011858288154006202
vehicle_ownership,mistral,10000,10,8000,2000,0.015490608328580855,0.03409593853551913,0.9610055273844762,0.8737079081431577,0.0015675675541162695
